id_transacao,data,hora,destinatario,valor,categoria,forma_pagamento
304,2025-09-21,12:16:08,Provedor de Internet Iamato,174.6,comunicação,pix
305,2025-02-21,16:10:18,Curso Online Iamato,71.07,educação,cartão débito
306,2025-01-09,13:13:25,Recarga de Celular Paffaro,68.01,comunicação,boleto
307,2025-03-26,20:48:31,Pet Shop Iamato,389.22,despesas pessoais,cartão crédito
308,2025-09-15,03:21:38,Companhia Telefônica Iamato,79.58,comunicação,boleto
309,2025-06-24,16:47:00,Eletricista Paffaro,886.82,casa,boleto
310,2025-10-01,09:42:13,Restaurante Akimi,140.42,alimentação,cartão crédito
311,2025-01-07,20:45:45,Aluguel Gonçalves,3722.0,casa,pix
312,2024-11-02,15:18:49,Sorveteria Paffaro,35.24,alimentação,pix
313,2024-12-19,13:06:50,Salão de Beleza Iamato,266.06,despesas pessoais,pix
314,2024-12-07,01:20:54,Clínica Odontológica Iamato,1394.3,saúde,cartão débito
315,2024-11-10,03:54:48,Loja de Jogos Iamato,154.34,lazer,boleto
316,2025-10-03,02:44:58,Lanchonete Gonçalves,27.85,alimentação,boleto
317,2024-11-16,19:20:46,Agência de Viagens Paffaro,2910.11,lazer,cartão débito
318,2024-12-13,12:26:01,Loja de Calçados Iamato,124.15,despesas pessoais,cartão crédito
319,2025-08-14,18:05:58,Restaurante Akimi,207.62,alimentação,cartão crédito
320,2025-03-02,08:50:42,Loja de Decoração Iamato,329.33,casa,pix
321,2025-01-26,11:15:41,Conta de Água Akimi,269.61,casa,cartão crédito
322,2024-12-20,18:15:25,Academia Akimi,249.23,despesas pessoais,boleto
323,2025-08-17,11:16:36,Metrô Paffaro,29.94,transporte,cartão crédito
324,2025-05-21,17:59:04,Provedor de Internet Akimi,183.17,comunicação,pix
325,2025-03-05,17:19:18,Loja de Departamentos Gonçalves,380.17,outros,cartão débito
326,2024-12-05,11:24:39,Consultoria Paffaro,2878.32,outros,pix
327,2025-03-04,16:15:33,Supermercado Gonçalves,993.1,alimentação,cartão crédito
328,2025-08-26,19:00:57,Papelaria Iamato,47.26,educação,pix
329,2024-11-06,17:23:50,Serviços Postais Gonçalves,42.56,comunicação,cartão débito
330,2025-01-30,11:46:46,Loja de Calçados Gonçalves,534.78,despesas pessoais,boleto
331,2025-07-24,19:05:56,Serviços Gerais Gonçalves,760.0,outros,cartão débito
332,2025-09-12,10:01:45,Curso de Idiomas Iamato,704.1,educação,cartão débito
333,2025-10-06,04:32:23,Perfumaria Gonçalves,480.78,despesas pessoais,boleto
334,2025-03-05,18:04:13,Loja de Móveis Akimi,1323.05,casa,cartão débito
335,2025-09-16,06:27:25,Loja de Calçados Akimi,436.05,despesas pessoais,cartão crédito
336,2025-02-01,15:39:47,Conta de Água Akimi,97.93,casa,cartão débito
337,2025-07-24,17:37:23,Eletricista Iamato,586.65,casa,cartão crédito
338,2025-04-05,05:08:19,Streaming Akimi,44.32,lazer,cartão crédito
339,2024-11-10,13:54:08,Loja de Móveis Paffaro,4089.79,casa,boleto
340,2025-04-26,10:51:06,Laboratório Gonçalves,764.73,saúde,boleto
341,2025-07-21,13:02:23,Pet Shop Akimi,169.11,despesas pessoais,boleto
342,2025-04-04,00:51:58,Conta de Luz Gonçalves,155.52,casa,boleto
343,2025-10-10,10:02:23,Parque Akimi,55.63,lazer,cartão crédito
